Line #,Comment,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,TargetPrice,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1, LCSC Part #

"","ADS1115","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R","ADC 1","","Not managed","","1","","","","","","","","",""
"","ADS1115","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R","ADC 2","","Not managed","","1","","","","","","","","",""
"","ADS1115","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R","ADC 3","","Not managed","","1","","","","","","","","",""
"","ADS1115","4-Channel Single ADC Delta-Sigma 860sps 16-bit Serial 10-Pin VSSOP T/R","ADC 4","","Not managed","","1","","","","","","","","",""
"","0.1uF","C14663","C1","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C2","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C3","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C4","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C5","","Not managed","","1","","","","","","","","",""
"","0.1uF","C14663","C6","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C7","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C8","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C9","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C10","","Not managed","","1","","","","","","","","",""
"","0.1uF","C14663","C11","","Not managed","","1","","","","","","","","",""
"","10uf","C96446","C12","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C13","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C14","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C15","","Not managed","","1","","","","","","","","",""
"","UWX1C100MCL2GB","UWX1C100MCL2GB WX Series 10 uF 16 V 85°C Ø3 x 5.4 mm SMT Chip Aluminum Electrolytic Cap","C16","CMP-00267-00203106-1","New From Design","Up to date","1","","Nichicon","UWX1C100MCL2GB","Volume Production","","","","",""
"","0.1uF","C14663","C17","","Not managed","","1","","","","","","","","",""
"","10uf","C96446","C18","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C19","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C20","","Not managed","","1","","","","","","","","",""
"","C0603","C96446","C21","","Not managed","","1","","","","","","","","",""
"","TVS","jlc: C78395","D1","","Not managed","","1","","","","","","","","",""
"","kontakt 5p 5.08","","J1","","Not managed","","1","","","","","","","","",""
"","kontakt 5p 5.08","","J2","","Not managed","","1","","","","","","","","",""
"","kontakt 5p 5.08","","J3","","Not managed","","1","","","","","","","","",""
"","kontakt 5p 5.08","","J4","","Not managed","","1","","","","","","","","",""
"","kontakt 2p 5.08","","J6","","Not managed","","1","","","","","","","","",""
"","Solder jumper","","JUMP1","","Not managed","","1","","","","","","","","",""
"","Solder jumper","","JUMP2","","Not managed","","1","","","","","","","","",""
"","Solder jumper","","JUMP3","","Not managed","","1","","","","","","","","",""
"","Solder jumper","","JUMP4","","Not managed","","1","","","","","","","","",""
"","AO3400A","MOSFET N-CH 30V 5.7A SOT23","Q1","CMP-83955-000006-1","New From Design","Up to date","1","","Alpha & Omega Semiconductor","AO3400A","Not Recommended for New Design","Digikey","785-1000-1-ND","0.46","0.46",""
"","AO3400A","MOSFET N-CH 30V 5.7A SOT23","Q2","CMP-83955-000006-1","New From Design","Up to date","1","","Alpha & Omega Semiconductor","AO3400A","Not Recommended for New Design","Digikey","785-1000-1-ND","0.46","0.46",""
"","AO3400A","MOSFET N-CH 30V 5.7A SOT23","Q3","CMP-83955-000006-1","New From Design","Up to date","1","","Alpha & Omega Semiconductor","AO3400A","Not Recommended for New Design","Digikey","785-1000-1-ND","0.46","0.46",""
"","AO3400A","MOSFET N-CH 30V 5.7A SOT23","Q4","CMP-83955-000006-1","New From Design","Up to date","1","","Alpha & Omega Semiconductor","AO3400A","Not Recommended for New Design","Digikey","785-1000-1-ND","0.46","0.46",""
"","AO3400A","MOSFET N-CH 30V 5.7A SOT23","Q5","CMP-83955-000006-1","New From Design","Up to date","1","","Alpha & Omega Semiconductor","AO3400A","Not Recommended for New Design","Digikey","785-1000-1-ND","0.46","0.46",""
"","AO3401A","P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel","Q6","CMP-2000-05778-1","Released","Up to date","1","","Alpha & Omega Semiconductor","AO3401A","Not Recommended for New Design","Digikey","785-1001-1-ND","0.46","0.46",""
"","AO3400A","MOSFET N-CH 30V 5.7A SOT23","Q7","CMP-83955-000006-1","New From Design","Up to date","1","","Alpha & Omega Semiconductor","AO3400A","Not Recommended for New Design","Digikey","785-1000-1-ND","0.46","0.46",""
"","10k","C25804","R1","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R2","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R3","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R4","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R5","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R6","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R7","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R8","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R9","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R10","","Not managed","","1","","","","","","","","",""
"","9.1k ATS","ATS Thermistor: 270-333k R11: 9.1k","R11","","Not managed","","1","","","","","","","","",""
"","5.1k MTS","MTS Thermistor: 103k R12: 5.1k","R12","","Not managed","","1","","","","","","","","",""
"","3.3k HEX","HEX Thermistor: 96k R13: 3.3k","R13","","Not managed","","1","","","","","","","","",""
"","3.3k EVAP","EVAP Thermistor: 96k R14: 3.3k","R14","","Not managed","","1","","","","","","","","",""
"","5.1k","DTS_1 Thermistor: 101k R15: 5.1k","R15","","Not managed","","1","","","","","","","","",""
"","DTS_2","DTS_2 Thermistor: 101k R16: 5.1k","R16","","Not managed","","1","","","","","","","","",""
"","DTS_3","DTS_3 Thermistor: 101k R17: 5.1k","R17","","Not managed","","1","","","","","","","","",""
"","DTS_4","DTS_4 Thermistor: 101k R18: 5.1k","R18","","Not managed","","1","","","","","","","","",""
"","DTS_5","DTS_5 Thermistor: 101k R19: 5.1k","R19","","Not managed","","1","","","","","","","","",""
"","DTS_6","DTS_6 Thermistor: 101k R20: 5.1k","R20","","Not managed","","1","","","","","","","","",""
"","DTS_7","DTS_7 Thermistor: 101k R21: 5.1k","R21","","Not managed","","1","","","","","","","","",""
"","DTS_8","DTS_8 Thermistor: 101k R22: 5.1k","R22","","Not managed","","1","","","","","","","","",""
"","100k","","R23","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R24","","Not managed","","1","","","","","","","","",""
"","10k","C25804","R25","","Not managed","","1","","","","","","","","",""
"","DTS_5","DTS_5 Thermistor: 101k R19: 5.1k","R26","","Not managed","","1","","","","","","","","",""
"","DTS_6","DTS_6 Thermistor: 101k R20: 5.1k","R27","","Not managed","","1","","","","","","","","",""
"","DTS_7","DTS_7 Thermistor: 101k R21: 5.1k","R28","","Not managed","","1","","","","","","","","",""
"","DTS_8","DTS_8 Thermistor: 101k R22: 5.1k","R29","","Not managed","","1","","","","","","","","",""
"","ESP32 olimex PINOUT","","U1","","Not managed","","1","","","","","","","","",""
