"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"R29","TopLayer","85.8000","43.8500","180"
"R28","TopLayer","88.8250","43.8500","0"
"R27","TopLayer","91.8750","43.8500","180"
"R26","TopLayer","94.9000","43.8500","0"
"R25","TopLayer","94.8750","37.9250","270"
"R24","TopLayer","99.9000","37.9250","270"
"Q7","TopLayer","97.3750","38.3000","180"
"JUMP4","TopLayer","119.1250","51.9945","270"
"J4","TopLayer","81.2785","45.5740","270"
"C21","TopLayer","85.8000","42.4250","0"
"C20","TopLayer","88.8250","42.4250","180"
"C19","TopLayer","91.8750","42.4250","0"
"C18","TopLayer","94.9000","42.4250","180"
"C17","TopLayer","90.5000","35.7000","180"
"ADC4","TopLayer","90.3000","38.2500","180"
"D1","TopLayer","157.8000","38.6500","0"
"R23","TopLayer","155.7000","43.7250","0"
"Q6","TopLayer","159.2000","42.7750","0"
"C16","TopLayer","159.2750","50.8500","0"
"JUMP3","TopLayer","115.5000","52.0055","270"
"JUMP2","TopLayer","116.7000","51.9945","270"
"JUMP1","TopLayer","117.9000","51.9945","270"
"R10","TopLayer","112.9000","38.2500","270"
"R9","TopLayer","117.9000","38.2500","270"
"R5","TopLayer","152.3250","38.2750","270"
"R11","TopLayer","149.4750","43.9000","0"
"R4","TopLayer","135.8250","42.4750","0"
"R8","TopLayer","129.9500","38.3000","270"
"R2","TopLayer","135.8250","43.8750","0"
"R3","TopLayer","127.8000","50.0000","90"
"R1","TopLayer","132.8000","50.0000","90"
"R7","TopLayer","134.9500","38.3000","270"
"R6","TopLayer","147.3250","38.2750","270"
"R12","TopLayer","146.4750","43.9000","180"
"R19","TopLayer","112.6000","43.9500","0"
"R16","TopLayer","126.7500","44.0000","180"
"R15","TopLayer","129.7500","44.0000","0"
"R18","TopLayer","120.7500","44.0000","180"
"R21","TopLayer","106.6000","43.9500","0"
"R22","TopLayer","103.6000","43.9500","180"
"R13","TopLayer","143.4750","43.9000","0"
"R20","TopLayer","109.6000","43.9500","180"
"R17","TopLayer","123.7500","44.0000","0"
"R14","TopLayer","140.4750","43.9000","180"
"J3","TopLayer","100.4990","57.4965","180"
"J2","TopLayer","119.6020","57.4965","180"
"J1","TopLayer","138.6328","57.5355","180"
"J6","TopLayer","154.5590","55.7530","180"
"Q5","TopLayer","115.4000","38.6500","180"
"Q4","TopLayer","132.4500","38.7000","180"
"Q3","TopLayer","149.8250","38.6750","180"
"Q2","TopLayer","130.3000","50.3000","0"
"Q1","TopLayer","135.3000","50.4000","0"
"ADC3","TopLayer","108.3000","38.6500","180"
"ADC2","TopLayer","125.4500","38.7000","180"
"ADC1","TopLayer","142.2250","38.6500","180"
"U1","TopLayer","125.5776","41.6250","90"
"C15","TopLayer","103.6000","42.5500","0"
"C14","TopLayer","106.6000","42.5500","180"
"C13","TopLayer","109.6000","42.5500","0"
"C12","TopLayer","112.6000","42.5500","180"
"C11","TopLayer","108.4000","36.0500","180"
"C10","TopLayer","120.7500","42.6000","0"
"C9","TopLayer","123.7500","42.6000","180"
"C8","TopLayer","126.7500","42.6000","0"
"C7","TopLayer","129.7500","42.6000","180"
"C6","TopLayer","125.4500","36.1000","180"
"C5","TopLayer","140.4750","42.5000","0"
"C4","TopLayer","143.4750","42.5000","180"
"C3","TopLayer","146.4750","42.5000","0"
"C2","TopLayer","149.4750","42.5000","180"
"C1","TopLayer","142.1250","36.0500","180"
